 ,Label,Area,Mean,X,Y,Feret,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret
1,Stack:1,0.139,255,0.322,0.114,0.673,100,1,0.000,0.163,14.036,0.272
2,Stack:1,1.404,255,1.099,1.478,3.995,100,1,0.163,3.156,52.193,0.663
3,Stack:1,0.515,255,5.676,0.371,1.275,100,1,5.007,0.054,140.194,0.910
4,Stack:1,0.264,255,8.639,0.293,1.001,100,1,8.218,0.653,22.380,0.569
5,Stack:1,0.498,255,16.695,0.659,2.160,100,1,16.109,0.000,130.914,0.422
6,Stack:1,0.459,255,20.396,0.541,1.480,100,1,20.190,0.000,107.103,0.642
7,Stack:1,0.729,255,23.951,0.598,1.933,100,1,23.020,0.000,147.653,0.987
8,Stack:1,0.163,255,26.970,0.216,0.664,100,1,26.884,0.544,55.008,0.456
9,Stack:1,0.308,255,3.042,0.698,1.316,100,1,2.449,0.327,150.255,0.482
10,Stack:1,0.438,255,14.957,0.895,1.394,100,1,14.585,0.327,128.660,0.468
11,Stack:1,0.145,255,27.707,0.639,0.608,100,1,27.592,0.871,63.435,0.381
12,Stack:1,0.181,255,0.167,1.092,0.809,100,1,0.000,0.599,109.654,0.435
13,Stack:1,0.270,255,7.842,1.124,0.845,100,1,7.619,1.524,75.069,0.649
14,Stack:1,0.290,255,9.218,1.161,1.022,100,1,8.871,0.707,115.201,0.536
15,Stack:1,1.356,255,23.162,2.517,4.836,100,1,21.769,0.762,129.063,0.516
16,Stack:1,0.693,255,4.521,1.274,1.243,100,1,3.864,1.143,156.801,0.862
17,Stack:1,1.315,255,8.096,2.543,4.082,100,1,6.748,0.871,126.870,0.726
18,Stack:1,0.275,255,18.924,1.439,1.352,100,1,18.503,0.925,130.101,0.385
19,Stack:1,0.284,255,13.133,1.589,1.437,100,1,12.789,1.034,127.304,0.385
20,Stack:1,0.634,255,10.938,1.865,2.054,100,1,10.122,1.143,122.005,0.710
21,Stack:1,0.255,255,2.260,1.774,1.132,100,1,1.796,2.122,35.218,0.465
22,Stack:1,0.527,255,5.312,2.200,1.624,100,1,4.680,2.667,50.440,0.760
23,Stack:1,0.533,255,25.465,1.933,1.513,100,1,24.816,2.503,37.694,0.676
24,Stack:1,0.385,255,8.524,1.934,0.939,100,1,8.054,1.905,169.992,0.768
25,Stack:1,0.426,255,12.468,2.833,2.265,100,1,11.810,1.905,125.218,0.354
26,Stack:1,0.323,255,19.137,2.653,1.601,100,1,18.776,1.959,125.311,0.411
27,Stack:1,0.684,255,26.512,2.943,2.134,100,1,25.796,3.810,52.253,0.623
28,Stack:1,0.364,255,1.391,2.810,1.485,100,1,1.088,3.483,61.557,0.436
29,Stack:1,0.148,255,19.971,2.729,0.878,100,1,19.701,2.340,119.745,0.272
30,Stack:1,0.314,255,16.831,2.985,1.317,100,1,16.327,2.395,141.710,0.544
31,Stack:1,0.281,255,24.849,3.034,1.424,100,1,24.381,2.503,136.548,0.337
32,Stack:1,0.492,255,2.437,3.080,1.122,100,1,2.286,3.646,75.964,0.696
33,Stack:1,0.732,255,6.011,3.778,2.380,100,1,5.823,2.612,100.539,0.871
34,Stack:1,0.764,255,22.162,4.140,3.052,100,1,21.061,2.830,129.936,0.423
35,Stack:1,2.879,255,14.342,5.864,6.646,100,1,11.646,2.884,148.392,3.085
36,Stack:1,0.281,255,15.174,3.517,1.634,100,1,14.803,2.884,119.982,0.357
37,Stack:1,0.213,255,27.355,3.927,0.832,100,1,27.265,3.483,101.310,0.435
38,Stack:1,0.113,255,7.570,3.792,0.560,100,1,7.401,4.027,60.945,0.317
39,Stack:1,0.533,255,15.325,4.769,2.385,100,1,14.476,3.646,117.150,0.723
40,Stack:1,0.107,255,16.753,4.110,0.658,100,1,16.599,3.755,114.444,0.381
41,Stack:1,0.388,255,18.659,4.268,1.352,100,1,18.231,3.755,130.101,0.423
42,Stack:1,0.631,255,4.505,4.642,2.049,100,1,4.136,3.864,129.611,0.799
43,Stack:1,0.817,255,14.511,5.210,3.156,100,1,13.170,3.973,136.397,0.717
44,Stack:1,0.228,255,3.138,4.349,0.792,100,1,3.048,4.789,74.055,0.490
45,Stack:1,0.501,255,10.952,4.553,1.022,100,1,10.776,4.027,115.201,0.813
46,Stack:1,0.326,255,7.451,4.725,1.480,100,1,7.020,5.333,53.973,0.417
47,Stack:1,0.110,255,9.867,4.425,0.516,100,1,9.741,4.680,71.565,0.358
48,Stack:1,0.619,255,0.826,5.325,2.049,100,1,0.435,4.463,106.991,0.726
49,Stack:1,0.264,255,22.383,5.415,2.091,100,1,21.714,4.517,128.660,0.259
50,Stack:1,0.335,255,17.240,5.144,1.419,100,1,16.871,4.680,122.471,0.540
51,Stack:1,0.249,255,20.301,5.386,1.080,100,1,19.918,5.170,130.914,0.654
52,Stack:1,0.957,255,12.459,6.369,3.742,100,1,11.429,5.224,130.872,0.542
53,Stack:1,0.118,255,2.472,5.624,0.589,100,1,2.340,5.878,56.310,0.346
54,Stack:1,0.142,255,11.181,5.938,0.616,100,1,10.939,6.095,45.000,0.423
55,Stack:1,0.225,255,21.338,6.062,0.845,100,1,21.224,5.660,104.931,0.494
56,Stack:1,0.560,255,8.547,6.255,1.102,100,1,8.218,6.748,57.095,0.863
57,Stack:1,0.358,255,23.885,6.332,1.253,100,1,23.401,5.878,124.380,0.565
58,Stack:1,0.672,255,3.975,6.788,2.541,100,1,3.156,5.932,133.264,0.501
59,Stack:1,0.290,255,27.275,6.307,1.101,100,1,26.776,6.150,8.531,0.871
60,Stack:1,0.163,255,24.898,6.342,0.816,100,1,24.544,6.095,143.130,0.381
61,Stack:1,0.696,255,1.829,7.257,2.657,100,1,0.653,8.163,34.992,0.776
62,Stack:1,0.877,255,10.729,7.362,2.642,100,1,9.633,6.313,122.381,0.970
63,Stack:1,1.179,255,8.621,8.505,6.242,100,1,6.585,6.585,137.827,0.450
64,Stack:1,0.844,255,19.058,7.732,3.205,100,1,18.068,6.585,130.179,0.440
65,Stack:1,0.634,255,25.810,7.563,1.858,100,1,25.633,8.435,84.958,0.859
66,Stack:1,0.474,255,22.497,7.420,1.438,100,1,21.986,6.857,119.476,0.576
67,Stack:1,0.121,255,23.573,7.152,0.925,100,1,23.347,7.619,61.928,0.263
68,Stack:1,0.222,255,3.015,7.177,0.932,100,1,2.503,7.347,6.710,0.435
69,Stack:1,0.456,255,12.617,7.747,1.938,100,1,12.082,6.966,128.157,0.381
70,Stack:1,0.364,255,20.765,7.699,1.464,100,1,20.245,7.075,138.013,0.471
71,Stack:1,0.148,255,9.256,7.350,0.621,100,1,8.980,7.184,142.125,0.390
72,Stack:1,0.471,255,16.567,7.590,1.558,100,1,15.837,7.891,24.775,0.563
73,Stack:1,0.421,255,5.730,8.063,1.709,100,1,4.952,7.347,142.765,0.500
74,Stack:1,0.438,255,27.402,8.122,1.412,100,1,27.211,7.510,117.553,0.707
75,Stack:1,0.190,255,3.919,8.302,1.047,100,1,3.646,8.762,62.103,0.310
76,Stack:1,0.572,255,2.894,8.342,1.624,100,1,2.231,8.000,129.560,0.825
77,Stack:1,1.967,255,19.413,10.804,5.508,100,1,17.687,8.000,101.976,2.559
78,Stack:1,0.767,255,4.344,9.012,2.120,100,1,3.537,9.741,48.122,0.683
79,Stack:1,0.376,255,17.251,8.685,1.102,100,1,16.871,9.088,32.905,0.626
80,Stack:1,1.167,255,23.609,9.487,2.728,100,1,22.912,10.776,61.390,0.808
81,Stack:1,0.418,255,22.050,8.950,1.231,100,1,21.714,9.524,45.000,0.539
82,Stack:1,0.853,255,7.619,9.588,2.739,100,1,6.694,8.599,139.028,0.453
83,Stack:1,0.498,255,12.328,9.395,1.742,100,1,11.918,8.599,104.470,0.590
84,Stack:1,0.429,255,2.131,9.140,1.165,100,1,1.687,8.762,127.405,0.604
85,Stack:1,0.118,255,13.529,9.120,0.568,100,1,13.279,9.252,16.699,0.363
86,Stack:1,0.207,255,6.572,9.426,1.311,100,1,6.313,8.980,131.634,0.415
87,Stack:1,0.483,255,25.553,9.958,1.361,100,1,25.034,10.449,53.130,0.596
88,Stack:1,0.761,255,17.755,10.281,2.626,100,1,16.707,9.415,145.981,0.638
89,Stack:1,0.210,255,5.709,9.942,1.194,100,1,5.442,9.524,133.152,0.384
90,Stack:1,0.480,255,14.689,10.126,1.378,100,1,14.204,10.231,9.090,0.797
91,Stack:1,0.101,255,21.466,10.068,0.730,100,1,21.333,10.395,63.435,0.338
92,Stack:1,0.163,255,26.476,10.285,0.740,100,1,26.395,9.905,107.103,0.340
93,Stack:1,0.252,255,1.621,10.486,1.317,100,1,1.197,9.959,128.290,0.477
94,Stack:1,0.521,255,5.479,10.803,1.858,100,1,5.116,10.014,121.827,0.462
95,Stack:1,0.530,255,13.322,10.693,1.465,100,1,12.898,10.068,121.329,0.972
96,Stack:1,0.364,255,4.012,11.101,1.842,100,1,3.646,10.286,124.160,0.518
97,Stack:1,0.293,255,0.490,10.976,1.501,100,1,0.000,10.340,136.469,0.409
98,Stack:1,0.127,255,27.587,10.610,0.831,100,1,27.429,10.340,121.608,0.379
99,Stack:1,1.836,255,12.917,13.498,6.965,100,1,10.014,10.503,134.683,0.770
100,Stack:1,0.643,255,7.314,11.500,2.857,100,1,6.422,10.558,139.635,0.445
101,Stack:1,0.465,255,8.754,11.390,2.772,100,1,7.782,10.558,136.591,0.339
102,Stack:1,0.776,255,24.564,11.252,2.100,100,1,23.891,12.082,31.218,0.868
103,Stack:1,1.040,255,25.966,11.812,2.899,100,1,25.088,12.844,50.332,0.779
104,Stack:1,0.237,255,22.346,11.129,1.027,100,1,22.204,10.667,122.005,0.467
105,Stack:1,0.370,255,18.617,11.330,2.065,100,1,17.687,11.592,18.435,0.446
106,Stack:1,0.118,255,12.137,11.182,0.586,100,1,11.973,10.939,111.801,0.361
107,Stack:1,0.287,255,2.718,11.445,1.094,100,1,2.068,11.483,174.289,0.688
108,Stack:1,0.655,255,15.667,11.682,2.175,100,1,14.748,12.245,31.701,0.471
109,Stack:1,0.139,255,12.702,11.639,0.847,100,1,12.463,11.320,135.000,0.305
110,Stack:1,0.332,255,21.831,12.058,1.294,100,1,21.769,11.374,104.621,0.477
111,Stack:1,0.252,255,13.822,11.794,1.339,100,1,13.224,11.537,153.435,0.390
112,Stack:1,0.210,255,17.458,12.054,0.879,100,1,17.143,12.408,68.199,0.561
113,Stack:1,0.347,255,13.621,12.554,1.736,100,1,13.224,11.755,122.196,0.366
114,Stack:1,0.341,255,3.493,12.158,0.816,100,1,3.102,11.973,143.130,0.609
115,Stack:1,1.072,255,1.089,13.031,2.780,100,1,0.000,14.095,49.764,1.320
116,Stack:1,0.267,255,27.221,12.542,1.047,100,1,27.320,13.116,81.027,0.628
117,Stack:1,2.206,255,25.089,14.688,6.043,100,1,22.966,12.299,133.905,0.832
118,Stack:1,0.477,255,6.655,12.944,1.829,100,1,6.259,12.245,126.529,0.500
119,Stack:1,0.468,255,16.039,13.135,1.494,100,1,16.054,13.878,79.509,0.780
120,Stack:1,0.166,255,8.248,13.104,0.936,100,1,7.891,13.551,54.462,0.384
121,Stack:1,0.655,255,21.674,13.937,3.394,100,1,20.299,12.898,138.900,0.488
122,Stack:1,1.386,255,6.352,14.554,4.695,100,1,5.116,12.898,134.061,0.924
123,Stack:1,0.190,255,23.110,13.270,0.707,100,1,22.803,13.170,157.380,0.469
124,Stack:1,0.361,255,27.066,13.725,1.677,100,1,26.503,14.041,35.754,0.629
125,Stack:1,0.489,255,10.271,13.641,1.432,100,1,9.578,13.442,171.254,0.741
126,Stack:1,0.157,255,1.940,14.037,1.194,100,1,1.578,14.476,46.848,0.258
127,Stack:1,0.264,255,17.026,13.984,0.710,100,1,16.707,13.823,147.529,0.539
128,Stack:1,0.264,255,18.172,14.188,0.818,100,1,18.122,13.769,93.814,0.526
129,Stack:1,0.355,255,19.908,14.643,1.951,100,1,19.755,13.769,112.989,0.681
130,Stack:1,0.124,255,7.361,14.284,0.850,100,1,7.075,13.932,129.806,0.231
131,Stack:1,0.237,255,2.493,14.314,0.816,100,1,2.122,14.531,36.870,0.443
132,Stack:1,0.560,255,6.292,15.239,2.698,100,1,5.279,14.259,131.730,0.435
133,Stack:1,0.139,255,27.588,14.642,0.850,100,1,27.320,14.912,50.194,0.299
134,Stack:1,0.637,255,11.139,14.872,1.637,100,1,10.340,15.075,15.422,0.650
135,Stack:1,0.521,255,3.214,15.142,2.167,100,1,2.449,15.565,25.278,0.880
136,Stack:1,0.326,255,20.952,15.106,1.080,100,1,20.626,14.639,130.914,0.461
137,Stack:1,0.370,255,18.880,15.285,1.695,100,1,18.340,14.748,132.397,0.423
138,Stack:1,0.376,255,0.371,15.230,1.275,100,1,0.000,15.673,39.806,0.580
139,Stack:1,0.237,255,9.265,15.717,1.003,100,1,8.816,15.401,130.601,0.447
140,Stack:1,1.117,255,5.538,16.626,4.091,100,1,3.973,15.401,139.316,0.578
141,Stack:1,0.281,255,21.998,16.085,1.364,100,1,21.660,15.565,118.610,0.439
142,Stack:1,0.166,255,23.592,15.969,1.040,100,1,23.020,16.109,173.991,0.544
143,Stack:1,0.909,255,1.359,16.576,2.627,100,1,0.381,17.524,39.958,0.693
144,Stack:1,0.506,255,12.482,16.433,1.633,100,1,11.864,15.946,143.130,0.583
145,Stack:1,0.121,255,14.340,16.058,0.655,100,1,14.095,15.782,131.634,0.346
146,Stack:1,0.287,255,15.832,16.169,1.122,100,1,15.401,16.544,39.094,0.385
147,Stack:1,0.207,255,19.909,16.470,1.057,100,1,19.973,15.946,101.889,0.479
148,Stack:1,0.850,255,4.756,17.236,3.504,100,1,3.320,16.000,136.888,0.551
149,Stack:1,0.130,255,0.178,16.390,0.710,100,1,0.000,16.707,57.529,0.346
150,Stack:1,0.207,255,8.797,16.543,0.969,100,1,8.544,16.163,128.157,0.456
151,Stack:1,0.634,255,24.650,17.351,3.310,100,1,23.456,16.163,133.668,0.394
152,Stack:1,1.333,255,16.074,17.418,2.601,100,1,15.619,18.340,52.651,1.631
153,Stack:1,0.264,255,26.453,17.232,1.847,100,1,25.741,16.435,135.000,0.486
154,Stack:1,0.216,255,11.801,16.978,1.234,100,1,11.429,16.490,131.424,0.278
155,Stack:1,0.338,255,21.203,16.914,1.012,100,1,20.789,17.143,36.254,0.539
156,Stack:1,0.213,255,7.772,16.881,0.726,100,1,7.728,17.252,77.005,0.381
157,Stack:1,0.166,255,18.574,17.014,0.816,100,1,18.340,16.707,126.870,0.346
158,Stack:1,0.503,255,24.330,18.294,2.464,100,1,23.456,17.415,133.210,0.391
